what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1477107735243
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1477107735246
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1477107735249
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1477107735250
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1477107735250
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1477107735250
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1477107735280
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1477107735280
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1477107735290
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1477107735290
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1477107735300
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1477107735340
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1477107735350
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1477107735350
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1477107735350
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1477107735360
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1477107735360
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1477107735360
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1477107735360
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1477107735400
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1477107735400
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1477107735420
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1477107735420
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1477107735430
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1477107735430
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1477107735440
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1477107735460
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1477107735460
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1477107735470
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1477107735470
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1477107735470
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1477107735480
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1477107735500
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1477107735500
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1477107735500
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1477107735520
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1477107735520
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1477107735540
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1477107735560
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1477107735560
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1477107735595
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1477107735595
os,sysinfo,,,"win32",1477107735611
arch,sysinfo,,,"x86",1477107735611
ws,sysinfo,,,"win32",1477107735611
locale,sysinfo,,,"en_US",1477107735611
processors,sysinfo,,,"4",1477107735611
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1477107735611
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1477107735611
java.specification.name,sysinfo,,,"Java Platform API Specification",1477107735611
java.specification.vendor,sysinfo,,,"Oracle Corporation",1477107735611
java.specification.version,sysinfo,,,"1.7",1477107735611
java.vendor,sysinfo,,,"Oracle Corporation",1477107735611
java.version,sysinfo,,,"1.7.0_79",1477107735611
java.vm.info,sysinfo,,,"mixed mode, sharing",1477107735611
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1477107735611
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1477107735611
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1477107735611
java.vm.specification.version,sysinfo,,,"1.7",1477107735611
java.vm.vendor,sysinfo,,,"Oracle Corporation",1477107735611
java.vm.version,sysinfo,,,"24.79-b02",1477107735611
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477107744316
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477107790851
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1477107790960
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477107792255
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477107794283
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1477107794719
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1477107797917
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1477107798807
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1477107798869
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1477107798900
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1477107798931
